job	done	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n500_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n500_d10_no_oracle	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n1000_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n1000_d10_no_oracle	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n2000_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n2000_d10_no_oracle	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n5000_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n5000_d10_no_oracle	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n10000_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n10000_d10_no_oracle	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n500_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n500_d10_no_oracle	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n1000_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n1000_d10_no_oracle	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n2000_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n2000_d10_no_oracle	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n5000_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n5000_d10_no_oracle	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n10000_d10	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n10000_d10_no_oracle
job_0000	True	shape=(1,)																			
job_0001	True		shape=(1,)																		
job_0002	True			shape=(1,)																	
job_0003	True				shape=(1,)																
job_0004	True					shape=(1,)															
job_0005	True						shape=(1,)														
job_0006	True							shape=(1,)													
job_0007	True								shape=(1,)												
job_0008	True									shape=(1,)											
job_0009	True										shape=(1,)										
job_0010	True											shape=(1,)									
job_0011	True												shape=(1,)								
job_0012	True													shape=(1,)							
job_0013	True														shape=(1,)						
job_0014	True															shape=(1,)					
job_0015	True																shape=(1,)				
job_0016	True																	shape=(1,)			
job_0017	True																		shape=(1,)		
job_0018	True																			shape=(1,)	
job_0019	True																				shape=(1,)
