job	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	500	10	5	linear	False	True	1	False	1.5	25	25	0.0551399	-0.00756238	0.0546189	25	0.111401	0.00341596	0.111348	25	0.0984153	0.00308753	0.0983668	25	0.102813	0.00521156	0.10268	25	0.175457	0.055325	0.166506	25	0.0478304	0.00641572	0.0473982	25	0.0839265	0.0296295	0.0785223	25
job_0001	500	10	5	gbm	False	True	1	False	1.5	25	25	0.188009	-0.15237	0.11014	25	0.171328	-0.0643676	0.158776	25	0.163364	-0.104956	0.125188	25	0.33546	0.0516693	0.331457	25	0.175457	0.055325	0.166506	25	0.0478304	0.00641572	0.0473982	25	0.0839265	0.0296295	0.0785223	25
job_0002	500	10	5	linear	True	True	1	False	1.5	25	25	0.409408	0.0675838	0.403792	25	0.456418	0.043548	0.454336	25	0.525168	0.019673	0.524799	25	0.532647	0.00590695	0.532615	25	0.560114	0.0108773	0.560009	25	0.407939	0.0716122	0.401604	25	0.358793	0.0728177	0.351327	25
job_0003	500	10	5	gbm	True	True	1	False	1.5	25	25	0.217221	-0.120957	0.180429	25	0.405395	-0.0711706	0.399099	25	0.376829	-0.0783541	0.368593	25	0.494017	-0.0569756	0.490721	25	0.560114	0.0108773	0.560009	25	0.407939	0.0716122	0.401604	25	0.358793	0.0728177	0.351327	25
job_0004	2000	10	5	linear	False	True	1	False	1.5	25	25	0.0267636	-0.000833956	0.0267506	25	0.0598785	-0.0166779	0.057509	25	0.0582536	-0.0164455	0.055884	25	0.0608326	-0.0172878	0.0583244	25	0.09163	-0.0317909	0.0859383	25	0.024604	-0.00155759	0.0245546	25	0.0393702	0.00594383	0.0389189	25
job_0005	2000	10	5	gbm	False	True	1	False	1.5	25	25	0.115707	-0.107322	0.0432442	25	0.0894137	-0.0551038	0.0704157	25	0.0933827	-0.0775455	0.0520292	25	0.0937512	-0.035483	0.0867769	25	0.09163	-0.0317909	0.0859383	25	0.024604	-0.00155759	0.0245546	25	0.0393702	0.00594383	0.0389189	25
job_0006	2000	10	5	linear	True	True	1	False	1.5	25	25	0.420032	0.064536	0.415045	25	0.422182	0.0298521	0.421125	25	0.440965	0.0102828	0.440845	25	0.445132	0.0110152	0.444996	25	0.530373	0.0500226	0.528009	25	0.418132	0.0656148	0.412952	25	0.346523	0.059528	0.341372	25
job_0007	2000	10	5	gbm	True	True	1	False	1.5	25	25	0.17534	-0.148802	0.0927479	25	0.271021	-0.123687	0.241152	25	0.252457	-0.131711	0.215376	25	0.307576	-0.112364	0.286317	25	0.530373	0.0500226	0.528009	25	0.418132	0.0656148	0.412952	25	0.346523	0.059528	0.341372	25
job_0008	10000	10	5	linear	False	True	1	False	1.5	25	25	0.00822081	-0.00199352	0.00797543	25	0.0300565	-0.00867933	0.0287761	25	0.0297981	-0.00848389	0.0285648	25	0.0298411	-0.00818679	0.0286961	25	0.0348272	0.00116678	0.0348076	25	0.0082857	-0.00199579	0.00804174	25	0.0146779	-0.00155611	0.0145952	25
job_0009	10000	10	5	gbm	False	True	1	False	1.5	25	25	0.0600468	-0.055399	0.0231639	25	0.0320257	-0.0182494	0.0263174	25	0.0355123	-0.0283655	0.0213664	25	0.0324134	-0.0134085	0.02951	25	0.0334068	0.00704756	0.0326549	25	0.0082857	-0.00199579	0.00804174	25	0.0146779	-0.00155611	0.0145952	25
job_0010	10000	10	5	linear	True	True	1	False	1.5	25	25	0.417945	0.0622424	0.413284	25	0.459587	0.0288206	0.458683	25	0.494905	0.00728351	0.494852	25	0.495706	0.00761678	0.495648	25	0.587503	0.0364404	0.586372	25	0.41804	0.0621902	0.413388	25	0.32342	0.0470723	0.319977	25
job_0011	10000	10	5	gbm	True	True	1	False	1.5	25	25	0.132446	-0.124626	0.0448368	25	0.272195	-0.128112	0.240161	25	0.251008	-0.126052	0.217062	25	0.309177	-0.132148	0.279512	25	0.589854	0.0365882	0.588718	25	0.41804	0.0621902	0.413388	25	0.32342	0.0470723	0.319977	25
