job	dataset	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite	note
job_0000		200	50	5	linear	True	True	1	False	1.5	25	25	0.415157	0.0619106	0.410515	25	0.471513	0.015897	0.471245	25	0.603769	-0.00276422	0.603763	25	0.625356	-0.00137521	0.625355	25	0.540476	-0.00604086	0.540443	25	0.423742	0.0639685	0.418885	25	0.401883	0.0716757	0.39544	25	
job_0001		200	50	5	gbm	True	True	1	False	1.5	25	25	0.328935	-0.101619	0.312845	25	0.427712	-0.0484731	0.424957	25	0.415421	-0.0580192	0.411349	25	0.59095	0.0541278	0.588466	25	0.540476	-0.00604086	0.540443	25	0.423742	0.0639685	0.418885	25	0.401883	0.0716757	0.39544	25	
job_0002		1000	50	5	linear	True	True	1	False	1.5	25	25	0.422687	0.0636168	0.417872	25	0.456286	0.0109243	0.456155	25	0.490571	-0.0186624	0.490215	25	0.496426	-0.0210887	0.495978	25	0.550521	-0.0467664	0.548531	25	0.417803	0.0611266	0.413307	25	0.412523	0.0596497	0.408188	25	
job_0003		1000	50	5	gbm	True	True	1	False	1.5	25	25	0.229522	-0.127883	0.190594	25	0.341356	-0.0471884	0.338079	25	0.32082	-0.0606816	0.315029	25	0.432161	0.00337962	0.432148	25	0.550521	-0.0467664	0.548531	25	0.417803	0.0611266	0.413307	25	0.412523	0.0596497	0.408188	25	
job_0004		200	200	5	linear	True	True	1	False	1.5	25	25	0.437029	0.0869973	0.428282	25	0.518287	0.0795832	0.51214	25	0.605571	0.085128	0.599558	25	0.607467	0.0837842	0.601662	25	7.41842	-0.191815	7.41594	25	1.12483	0.0627863	1.12307	25	0.427958	0.110831	0.413358	25	
job_0005		200	200	5	gbm	True	True	1	False	1.5	25	25	0.360849	-0.0908127	0.349235	25	0.411014	-0.0214302	0.410455	25	0.406757	-0.0260885	0.405919	25	0.500085	0.0632195	0.496073	25	7.41842	-0.191815	7.41594	25	1.12483	0.0627863	1.12307	25	0.427958	0.110831	0.413358	25	
job_0006		1000	200	5	linear	True	True	1	False	1.5	25	25	0.404713	0.0678303	0.398988	25	0.456454	0.0322778	0.455312	25	0.488469	0.0140991	0.488265	25	0.489106	0.0130089	0.488933	25	0.475325	-0.0854017	0.46759	25	0.409597	0.0665506	0.404154	25	0.414073	0.0721541	0.407738	25	
job_0007		1000	200	5	gbm	True	True	1	False	1.5	25	25	0.224955	-0.130759	0.183049	25	0.38283	-0.0638939	0.37746	25	0.359262	-0.0741999	0.351516	25	0.43729	-0.0382179	0.435617	25	0.475325	-0.0854017	0.46759	25	0.409597	0.0665506	0.404154	25	0.414073	0.0721541	0.407738	25	
job_0008																																									NO .npy (failed/held/empty)
job_0009		200	500	5	gbm	True	True	1	False	1.5	25	25	0.419202	-0.0192687	0.418759	25	0.660786	0.102917	0.652723	25	0.611217	0.0829705	0.605559	25	0.954417	0.204412	0.93227	25	3.15999	-0.32934	3.14278	25	0.356236	-0.110695	0.338601	25	0.493961	0.141278	0.473327	25	
job_0010																																									NO .npy (failed/held/empty)
job_0011																																									NO .npy (failed/held/empty)
