job	dataset	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	housing	500	8	8	linear	False	True	0.5	False	1	25	25	0.0620202	-0.016327	0.0598326	25	0.116518	-0.00925252	0.11615	25	0.116175	-0.0102841	0.115719	25	0.119725	-0.00750638	0.11949	25	0.0944153	0.0115918	0.093701	25	0.0448181	0.0028335	0.0447284	25	0.0672226	0.0103807	0.0664162	25
job_0001	housing	2000	8	8	linear	False	True	0.5	False	1	25	25	0.0253915	-0.000221247	0.0253905	25	0.0485841	-0.0171283	0.0454647	25	0.0486582	-0.0173009	0.0454785	25	0.048842	-0.0173661	0.0456504	25	0.0313497	-0.00688199	0.030585	25	0.0236407	-0.00286443	0.0234665	25	0.0252204	-0.0032537	0.0250096	25
job_0002	housing	500	8	8	linear	False	True	1	False	1	25	25	0.0925362	0.0230559	0.0896179	25	0.128876	0.0517313	0.118038	25	0.136835	0.0548823	0.125346	25	0.12184	0.0457533	0.112923	25	0.106708	-0.0159142	0.105515	25	0.0558007	0.0125262	0.0543766	25	0.0713012	0.0245119	0.0669554	25
job_0003	housing	2000	8	8	linear	False	True	1	False	1	25	25	0.030043	0.00556023	0.0295239	25	0.0973185	0.0413957	0.0880755	25	0.0969004	0.0411509	0.0877285	25	0.0980285	0.0424303	0.08837	25	0.0508154	0.0150021	0.0485504	25	0.0215651	-0.000774684	0.0215512	25	0.0242338	0.00434596	0.0238409	25
job_0004	housing	500	8	8	linear	False	True	2	False	1	25	25	0.0938933	0.0191683	0.0919159	25	2.40247	-0.592777	2.32819	25	4.80916	-1.6619	4.51288	25	2.14529	-0.443338	2.09898	25	0.478898	0.126686	0.461837	25	0.0386997	0.0102652	0.0373134	25	0.0472034	0.0271103	0.0386418	25
job_0005	housing	2000	8	8	linear	False	True	2	False	1	25	25	0.027319	0.00248339	0.0272059	25	1.00419	-0.232324	0.976942	25	1.6055	-0.574537	1.49918	25	4.0291	-0.631098	3.97937	25	0.53464	0.120175	0.520959	25	0.0236302	9.52565e-05	0.02363	25	0.0301233	0.0084486	0.0289143	25
job_0006	housing	500	8	8	linear	False	True	4	False	1	25	25	0.0957915	0.00171296	0.0957761	25	2.2974	-0.818491	2.14665	25	2.36306	-0.802857	2.22249	25	3.48222	-0.984616	3.34011	25	0.133472	-0.0454757	0.125486	25	0.0444978	0.00210391	0.0444481	25	0.0518765	-0.0043114	0.0516971	25
job_0007	housing	2000	8	8	linear	False	True	4	False	1	25	25	0.0263297	0.00479431	0.0258895	25	0.0791341	-0.00144435	0.079121	25	0.0835277	-0.00254346	0.083489	25	0.0755384	-0.000478505	0.0755368	25	0.0589879	0.019496	0.0556729	25	0.023867	3.04764e-05	0.023867	25	0.026925	-0.00147835	0.0268844	25
job_0008	news20	500	10	10	linear	False	True	0.5	False	1	25	25	0.0529966	0.00487032	0.0527723	25	0.0856472	0.0152124	0.0842854	25	0.0853927	0.013998	0.0842376	25	0.0871905	0.0173166	0.0854536	25	0.125753	-7.70505e-06	0.125753	25	0.0482614	0.00442176	0.0480584	25	0.0580924	0.00244074	0.0580411	25
job_0009	news20	2000	10	10	linear	False	True	0.5	False	1	25	25	0.0230291	-0.00297084	0.0228367	25	0.0445249	-0.0127993	0.0426455	25	0.0445139	-0.0129037	0.0426026	25	0.0447646	-0.0131472	0.0427905	25	0.0371886	-0.0054601	0.0367856	25	0.0236818	-0.00299201	0.023492	25	0.0315174	-0.0011037	0.0314981	25
job_0010	news20	500	10	10	linear	False	True	1	False	1	25	25	0.0598512	0.0104029	0.0589402	25	0.110378	0.0265822	0.107129	25	0.108209	0.0278599	0.104561	25	0.115647	0.0267081	0.112521	25	0.106966	0.0430627	0.0979144	25	0.054717	0.0140664	0.0528781	25	0.0695627	0.00999076	0.0688415	25
job_0011	news20	2000	10	10	linear	False	True	1	False	1	25	25	0.0230533	0.000223586	0.0230522	25	0.0654266	0.0206237	0.0620911	25	0.0645909	0.0206464	0.0612022	25	0.0658207	0.0210049	0.0623792	25	0.0670809	0.0146578	0.0654599	25	0.0216101	-0.000580079	0.0216024	25	0.0256124	-0.000470141	0.025608	25
job_0012	news20	500	10	10	linear	False	True	2	False	1	25	25	0.0371628	0.00646363	0.0365964	25	1.40438	0.175566	1.39336	25	0.380579	0.0239343	0.379826	25	2.3711	-0.288437	2.3535	25	0.545679	0.0398049	0.544225	25	0.0392795	0.00819044	0.0384161	25	0.0569628	0.00815889	0.0563754	25
job_0013	news20	2000	10	10	linear	False	True	2	False	1	25	25	0.0250687	-0.00170864	0.0250104	25	0.563688	0.0415012	0.562158	25	1.25975	0.118049	1.25421	25	0.936803	-0.124645	0.928473	25	0.506411	0.0970991	0.497015	25	0.0238347	7.15149e-05	0.0238346	25	0.020969	0.00497895	0.0203693	25
job_0014	news20	500	10	10	linear	False	True	4	False	1	25	25	0.0514697	0.0101035	0.0504683	25	0.121084	-0.036621	0.115414	25	0.158179	-0.0489398	0.150418	25	0.0934439	-0.0283149	0.0890507	25	0.174247	-0.0172868	0.173387	25	0.0455605	0.00627945	0.0451257	25	0.0541096	0.00698237	0.0536572	25
job_0015	news20	2000	10	10	linear	False	True	4	False	1	25	25	0.0246355	0.00048429	0.0246307	25	0.0550517	0.0198185	0.0513606	25	0.0562628	0.019091	0.0529248	25	0.0537178	0.0202569	0.049752	25	0.0935044	0.0400002	0.0845167	25	0.0241062	0.000326377	0.0241039	25	0.0291769	0.00607266	0.028538	25
