job	dataset	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	eps_beta	bootstrap	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	housing	50000	5	5	linear	False	True	0.5	0.5	True	False	1	25	25	0.00443939	0.000926782	0.00434157	25	0.00780551	-0.000802666	0.00776413	25	0.00778654	-0.000817299	0.00774353	25	0.007827	-0.000806147	0.00778538	25	0.00241773	0.000537024	0.00235734	25	0.00458252	0.0015029	0.00432906	25	0.00586754	0.00196392	0.00552911	25
job_0001	housing	50000	5	5	linear	False	True	1	0.5	True	False	1	25	25	0.00287548	0.00130643	0.00256157	25	0.0190279	0.00261983	0.0188467	25	0.0190476	0.0026395	0.0188638	25	0.0190144	0.00261066	0.0188344	25	0.00273097	0.00066289	0.0026493	25	0.00317871	0.00178616	0.00262942	25	0.00413875	0.00168142	0.00378181	25
job_0002	housing	50000	5	5	linear	False	True	1.5	0.5	True	False	1	25	25	0.00366537	0.000119706	0.00366341	25	0.0202913	-0.00425106	0.019841	25	0.0203348	-0.00424829	0.0198861	25	0.020307	-0.00427446	0.019852	25	0.00369735	0.000577463	0.00365198	25	0.00378586	0.000711832	0.00371834	25	0.00349039	0.000301551	0.00347734	25
job_0003	housing	50000	5	5	linear	False	True	2	0.5	True	False	1	25	25	0.00504568	-0.000144297	0.00504361	25	2.45895	-0.176238	2.45262	25	1.51701	0.0185892	1.51689	25	0.932487	0.0344722	0.93185	25	0.00267785	-0.000200123	0.00267036	25	0.00498687	0.000367806	0.00497329	25	0.00530147	0.000335894	0.00529082	25
job_0004	housing	50000	5	5	linear	False	True	3	0.5	True	False	1	25	25	0.00540047	-0.000942631	0.00531756	25	0.0175702	0.00635007	0.0163826	25	0.0175249	0.00632883	0.0163423	25	0.017482	0.00627298	0.0163177	25	0.00377822	0.000878688	0.00367462	25	0.00529735	-0.000399369	0.00528228	25	0.00530309	-0.000553103	0.00527417	25
job_0005	housing	50000	5	5	linear	False	True	0.5	1	True	False	1	25	25	0.00452414	-0.0011887	0.00436519	25	0.00921523	-0.00171987	0.00905332	25	0.00924856	-0.00172256	0.00908673	25	0.00915245	-0.00170394	0.00899244	25	0.00462296	-0.000389474	0.00460653	25	0.00437229	-0.000631185	0.00432649	25	0.00470088	-0.000851893	0.00462304	25
job_0006	housing	50000	5	5	linear	False	True	1	1	True	False	1	25	25	0.00461016	-0.000189361	0.00460627	25	0.00988562	0.000395193	0.00987772	25	0.00988794	0.00041389	0.00987928	25	0.00990713	0.0003975	0.00989916	25	0.00399024	0.00078496	0.00391227	25	0.00462315	0.000342631	0.00461044	25	0.00455781	-0.00107058	0.00443029	25
job_0007	housing	50000	5	5	linear	False	True	1.5	1	True	False	1	25	25	0.00593871	-0.000243747	0.00593371	25	0.0209099	0.0020319	0.0208109	25	0.0207826	0.00207343	0.0206789	25	0.0210976	0.00198335	0.0210041	25	0.00751173	0.00225429	0.00716549	25	0.00597506	0.000254165	0.00596966	25	0.00615586	0.00150434	0.00596922	25
job_0008	housing	50000	5	5	linear	False	True	2	1	True	False	1	25	25	0.00449168	-0.000288014	0.00448244	25	1.31667	-0.34495	1.27068	25	0.853243	-0.229278	0.821861	25	0.666908	-0.148783	0.6501	25	0.00739984	-0.000405966	0.00738869	25	0.00456933	0.000147283	0.00456696	25	0.00477388	0.000440994	0.00475347	25
job_0009	housing	50000	5	5	linear	False	True	3	1	True	False	1	25	25	0.00378102	4.49144e-05	0.00378075	25	0.013544	0.00323931	0.0131509	25	0.0135667	0.00318947	0.0131865	25	0.0134769	0.00328723	0.0130698	25	0.00379205	-0.00119383	0.00359922	25	0.00376676	0.000517429	0.00373105	25	0.0039963	0.000497017	0.00396527	25
job_0010	housing	50000	5	5	linear	False	True	0.5	1.5	True	False	1	25	25	0.00388534	-0.000918641	0.00377517	25	0.00993621	-0.00202255	0.00972819	25	0.00994538	-0.00202852	0.0097363	25	0.009957	-0.00202459	0.00974899	25	0.0040318	-0.000515005	0.00399877	25	0.00389299	-0.000415288	0.00387078	25	0.00488118	-0.000538855	0.00485135	25
job_0011	housing	50000	5	5	linear	False	True	1	1.5	True	False	1	25	25	0.00563826	-0.00206696	0.00524572	25	0.0137042	-0.00114689	0.0136561	25	0.0136828	-0.00111738	0.0136371	25	0.0137298	-0.00118297	0.0136788	25	0.00870943	-0.000725579	0.00867916	25	0.00537528	-0.00150755	0.00515955	25	0.0056829	-0.00144305	0.00549663	25
job_0012	housing	50000	5	5	linear	False	True	1.5	1.5	True	False	1	25	25	0.0048585	-0.000425415	0.00483984	25	0.0246273	-0.00486996	0.024141	25	0.0245846	-0.00479899	0.0241117	25	0.0247477	-0.00489165	0.0242594	25	0.0112678	0.00104521	0.0112192	25	0.00485639	7.76999e-05	0.00485577	25	0.00481025	-0.000368418	0.00479612	25
job_0013	housing	50000	5	5	linear	False	True	2	1.5	True	False	1	25	25	0.00442763	-0.00222785	0.0038263	25	3.1819	0.647637	3.11529	25	1.74791	0.338731	1.71477	25	1.20555	0.179627	1.19209	25	0.0182725	-0.00106739	0.0182413	25	0.00420007	-0.00172947	0.00382747	25	0.00501098	-0.00195652	0.00461324	25
job_0014	housing	50000	5	5	linear	False	True	3	1.5	True	False	1	25	25	0.00473823	0.000290966	0.00472929	25	0.0147081	0.00388731	0.0141851	25	0.0147228	0.00384592	0.0142116	25	0.0145948	0.00393043	0.0140556	25	0.010303	0.0020552	0.0100959	25	0.00483377	0.000784926	0.00476962	25	0.00483689	0.000292014	0.00482807	25
job_0015	housing	50000	5	5	linear	False	True	0.5	2	True	False	1	25	25	0.00261643	-0.000742538	0.00250885	25	0.0154219	-0.00354478	0.015009	25	0.0154222	-0.00356329	0.0150049	25	0.0154322	-0.00351753	0.015026	25	0.00511334	-0.000782504	0.00505311	25	0.00253504	-0.000156684	0.00253019	25	0.00387292	-0.000723272	0.00380479	25
job_0016	housing	50000	5	5	linear	False	True	1	2	True	False	1	25	25	0.00427069	-0.0012351	0.00408819	25	0.0113209	0.00303883	0.0109054	25	0.0112862	0.00309105	0.0108547	25	0.011379	0.00300878	0.0109741	25	0.00913001	-0.00162243	0.0089847	25	0.00415637	-0.000729085	0.00409193	25	0.00465159	-0.000488159	0.00462591	25
