job	dataset	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	eps_beta	bootstrap	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	synthetic_hd	200	5	5	multi	False	True	1	0.5	False	False	1	12	12	0.0717086	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.0420526	nan	nan	12	0.0506073	nan	nan	12	nan	nan	nan	12
job_0001	synthetic_hd	200	5	5	multi	True	True	1	0.5	False	False	1	12	12	0.0592008	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.201134	nan	nan	12	0.0514774	nan	nan	12	nan	nan	nan	12
job_0002	synthetic_hd	5000	5	5	multi	False	True	1	0.5	False	False	1	12	12	0.0122994	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.00739818	nan	nan	12	0.0124091	nan	nan	12	nan	nan	nan	12
job_0003	synthetic_hd	5000	5	5	multi	True	True	1	0.5	False	False	1	12	12	0.0104635	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.0446343	nan	nan	12	0.0106879	nan	nan	12	nan	nan	nan	12
job_0004	synthetic_hd	200	200	200	multi	False	True	1	0.5	False	False	1	12	12	0.06492	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	235.82	nan	nan	12	0.824704	nan	nan	12	nan	nan	nan	12
job_0005	synthetic_hd	200	200	200	multi	True	True	1	0.5	False	False	1	12	12	0.082567	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	1.55987	nan	nan	12	0.946047	nan	nan	12	nan	nan	nan	12
job_0006	synthetic_hd	5000	200	200	multi	False	True	1	0.5	False	False	1	12	12	0.00980328	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.0134882	nan	nan	12	0.0119587	nan	nan	12	nan	nan	nan	12
job_0007	synthetic_hd	5000	200	200	multi	True	True	1	0.5	False	False	1	12	12	0.0384614	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.12117	nan	nan	12	0.03793	nan	nan	12	nan	nan	nan	12
job_0008	synthetic_hd	200	5	5	multi	False	True	1	2	False	False	1	12	12	0.0638578	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.216651	nan	nan	12	0.0567266	nan	nan	12	nan	nan	nan	12
job_0009	synthetic_hd	200	5	5	multi	True	True	1	2	False	False	1	12	12	0.0650208	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.528765	nan	nan	12	0.0628976	nan	nan	12	nan	nan	nan	12
job_0010	synthetic_hd	5000	5	5	multi	False	True	1	2	False	False	1	12	12	0.0145884	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.0248438	nan	nan	12	0.014243	nan	nan	12	nan	nan	nan	12
job_0011	synthetic_hd	5000	5	5	multi	True	True	1	2	False	False	1	12	12	0.0112738	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.376278	nan	nan	12	0.0112093	nan	nan	12	nan	nan	nan	12
job_0012	synthetic_hd	200	200	200	multi	False	True	1	2	False	False	1	12	12	0.0575044	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	5.67529	nan	nan	12	0.716466	nan	nan	12	nan	nan	nan	12
job_0013	synthetic_hd	200	200	200	multi	True	True	1	2	False	False	1	12	12	0.0972417	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	8.05845	nan	nan	12	0.664978	nan	nan	12	nan	nan	nan	12
job_0014	synthetic_hd	5000	200	200	multi	False	True	1	2	False	False	1	12	12	0.0199638	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.227014	nan	nan	12	0.014817	nan	nan	12	nan	nan	nan	12
job_0015	synthetic_hd	5000	200	200	multi	True	True	1	2	False	False	1	12	12	0.0375676	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.469106	nan	nan	12	0.0371233	nan	nan	12	nan	nan	nan	12
