job	dataset	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	eps_beta	bootstrap	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	synthetic	10000	5	5	linear	False	True	0.5	0.5	False	False	1	20	20	0.0109211	-0.000979322	0.0108771	20	0.0231809	0.00993991	0.0209417	20	0.0232302	0.0100066	0.0209645	20	0.0231878	0.00993361	0.0209522	20	0.00621207	0.000991987	0.00613235	20	0.0108888	-0.000538604	0.0108754	20	0.0133795	0.00147059	0.0132984	20
job_0001	synthetic	10000	5	5	linear	False	True	0.75	0.5	False	False	1	20	20	0.0120061	0.00092597	0.0119704	20	0.0264057	0.00402895	0.0260965	20	0.0263098	0.00397393	0.0260079	20	0.0265897	0.00413277	0.0262666	20	0.00866617	0.00179134	0.00847901	20	0.0121776	0.0011981	0.0121185	20	0.013617	0.00214173	0.0134475	20
job_0002	synthetic	10000	5	5	linear	False	True	1	0.5	False	False	1	20	20	0.00929056	-0.00241422	0.00897141	20	0.0156804	-0.00112455	0.0156401	20	0.0156751	-0.000966984	0.0156453	20	0.0156153	-0.00144605	0.0155482	20	0.00922543	0.000422887	0.00921573	20	0.0092012	-0.00188071	0.00900694	20	0.0100066	0.00032047	0.0100015	20
job_0003	synthetic	10000	5	5	linear	False	True	1.25	0.5	False	False	1	20	20	0.00928149	0.00169894	0.00912468	20	0.035102	0.00744527	0.0343034	20	0.0350178	0.00749081	0.0342072	20	0.0356711	0.00775818	0.0348172	20	0.00703149	-0.000615935	0.00700446	20	0.0093906	0.00225517	0.00911579	20	0.00829556	0.00228309	0.0079752	20
job_0004	synthetic	10000	5	5	linear	False	True	1.5	0.5	False	False	1	20	20	0.00764133	0.000165393	0.00763954	20	0.0341728	0.000686318	0.0341659	20	0.0341611	0.00094816	0.0341479	20	0.0349904	0.000580348	0.0349856	20	0.0086842	-0.00255304	0.00830044	20	0.00769765	0.000520471	0.00768003	20	0.00824929	8.65978e-05	0.00824884	20
job_0005	synthetic	10000	5	5	linear	False	True	1.75	0.5	False	False	1	20	20	0.00945784	0.000645969	0.00943576	20	0.133722	0.0383238	0.128112	20	0.13251	0.038221	0.126878	20	0.13645	0.0379884	0.131055	20	0.00943543	-0.00174125	0.00927337	20	0.00939184	0.000858675	0.0093525	20	0.0109079	0.00297887	0.0104932	20
job_0006	synthetic	10000	5	5	linear	False	True	2	0.5	False	False	1	20	20	0.0109222	0.00457081	0.00991983	20	22.2748	-5.19569	21.6603	20	10.1844	-3.55083	9.5454	20	11.3693	-1.94253	11.2021	20	0.00827841	0.00333245	0.00757805	20	0.0112445	0.00492319	0.0101095	20	0.0125862	0.00524453	0.0114415	20
job_0007	synthetic	10000	5	5	linear	False	True	0.5	2	False	False	1	20	20	0.0102299	-0.000252691	0.0102268	20	0.0220307	0.00093674	0.0220107	20	0.0219884	0.00103544	0.021964	20	0.0219891	0.000812184	0.0219741	20	0.0192881	-0.00311799	0.0190344	20	0.0103353	0.000220981	0.0103329	20	0.0126986	0.000957067	0.0126625	20
job_0008	synthetic	10000	5	5	linear	False	True	0.75	2	False	False	1	20	20	0.011229	0.00213606	0.011024	20	0.021757	-0.0022123	0.0216442	20	0.021744	-0.00220502	0.0216319	20	0.0218645	-0.00218649	0.0217549	20	0.0232034	-0.00235081	0.023084	20	0.0113367	0.00230201	0.0111005	20	0.0122544	0.00146238	0.0121669	20
job_0009	synthetic	10000	5	5	linear	False	True	1	2	False	False	1	20	20	0.00716477	0.000438601	0.00715133	20	0.0216409	-0.00342149	0.0213687	20	0.0214841	-0.00329564	0.0212298	20	0.0217802	-0.00356355	0.0214867	20	0.0368521	-0.000574947	0.0368476	20	0.00728918	0.000775608	0.0072478	20	0.0092468	0.000668913	0.00922257	20
job_0010	synthetic	10000	5	5	linear	False	True	1.25	2	False	False	1	20	20	0.0115707	-0.00430268	0.0107409	20	0.037975	-0.0206531	0.0318677	20	0.0378181	-0.020476	0.0317953	20	0.0383202	-0.0208996	0.0321193	20	0.0423827	-0.00998558	0.0411895	20	0.0113879	-0.00395946	0.0106774	20	0.0125514	-0.00351063	0.0120505	20
job_0011	synthetic	10000	5	5	linear	False	True	1.5	2	False	False	1	20	20	0.00913465	0.00191104	0.00893251	20	0.041991	0.00879923	0.0410588	20	0.0419274	0.00848998	0.0410589	20	0.041897	0.00897471	0.0409245	20	0.0555079	0.0128198	0.0540072	20	0.00917107	0.00249065	0.00882639	20	0.0137822	0.0067308	0.0120269	20
job_0012	synthetic	10000	5	5	linear	False	True	1.75	2	False	False	1	20	20	0.012123	0.00330227	0.0116646	20	0.109494	0.00121909	0.109487	20	0.108822	0.000642617	0.10882	20	0.110366	0.000491268	0.110365	20	0.203946	0.0314989	0.201499	20	0.0124499	0.00350714	0.0119457	20	0.013751	0.00329834	0.0133496	20
job_0013	synthetic	10000	5	5	linear	False	True	2	2	False	False	1	20	20	0.00978814	-0.000811364	0.00975445	20	40.7756	-8.50097	39.8796	20	22.9589	-6.30796	22.0753	20	7.908	-0.0589456	7.90778	20	0.530347	-0.0490948	0.52807	20	0.00980883	-0.000542345	0.00979383	20	0.0123551	0.0016337	0.0122466	20
